,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12
46,T6,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,T0,56.0,0.0,16.0,20.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
51,T1,181.0,0.0,10.0,33.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
52,T2,9.0,0.0,2.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,T3,32.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,T4,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,T5,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,T6,11.0,0.0,5.0,16.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,T7,14.0,0.0,16.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
58,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,T0,41.0,0.0,16.0,11.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0
61,T1,50.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
62,T2,6.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,T3,5.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,T4,4.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,T5,0.0,0.0,4.0,7.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
66,T6,3.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,T7,2.0,0.0,3.0,10.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
68,T8,0.0,0.0,4.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
69,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,T0,5.0,0.0,9.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
71,T1,70.0,0.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
72,T2,16.0,0.0,4.0,24.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,T3,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,T4,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,T5,23.0,0.0,1.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,T6,18.0,0.0,17.0,19.0,26.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0
77,T7,36.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,T8,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,T0,100.0,1.0,36.0,30.0,0.0,17.0,20.0,0.0,0.0,2.0,4.0,0.0
81,T1,175.0,0.0,36.0,18.0,0.0,16.0,13.0,0.0,0.0,0.0,7.0,0.0
82,T2,71.0,0.0,28.0,6.0,18.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
83,T3,9.0,0.0,2.0,9.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,T4,0.0,0.0,9.0,7.0,21.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
85,T5,0.0,0.0,13.0,9.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
86,T6,18.0,0.0,42.0,28.0,22.0,4.0,21.0,0.0,0.0,0.0,1.0,0.0
87,T7,16.0,0.0,47.0,36.0,27.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0
88,T8,19.0,0.0,24.0,14.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
89,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,T0,35.0,1.0,6.0,14.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
91,T1,81.0,1.0,19.0,37.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0
92,T2,20.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,T3,20.0,0.0,0.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,T4,0.0,0.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,T5,6.0,0.0,1.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,T6,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,T7,7.0,0.0,8.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
98,T8,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,T0,19.0,1.0,4.0,15.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
101,T1,16.0,2.0,21.0,36.0,1.0,27.0,9.0,0.0,0.0,1.0,0.0,0.0
102,T2,17.0,0.0,15.0,35.0,20.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0
103,T3,23.0,0.0,16.0,34.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
104,T4,20.0,0.0,22.0,33.0,18.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
105,T5,11.0,0.0,4.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
106,T6,7.0,0.0,6.0,25.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
107,T7,9.0,0.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
108,T8,33.0,0.0,2.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
109,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,T0,8.0,0.0,13.0,25.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
111,T1,122.0,2.0,36.0,65.0,1.0,16.0,8.0,0.0,0.0,0.0,2.0,0.0
112,T2,36.0,0.0,4.0,26.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,T3,6.0,0.0,5.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
114,T4,32.0,0.0,2.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,T5,57.0,0.0,12.0,20.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
116,T6,49.0,0.0,22.0,17.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
117,T7,25.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,T8,45.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,T0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,T1,25.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
122,T2,52.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,T3,7.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,T4,0.0,0.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,T5,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,T6,16.0,0.0,3.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
127,T7,16.0,0.0,3.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,T8,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,T0,42.0,1.0,8.0,20.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
131,T1,282.0,0.0,11.0,120.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
132,T2,295.0,0.0,3.0,133.0,23.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0
133,T3,319.0,0.0,38.0,139.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
134,T4,332.0,0.0,20.0,103.0,77.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
135,T5,544.0,0.0,12.0,143.0,34.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
136,T6,397.0,0.0,20.0,121.0,41.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
137,T7,361.0,0.0,20.0,71.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
138,T8,444.0,0.0,0.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,T0,5.0,0.0,9.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
141,T1,9.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,T2,34.0,0.0,3.0,13.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
143,T3,22.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,T4,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,T5,5.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,T6,7.0,0.0,3.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
147,T7,10.0,0.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,T8,3.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
149,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,T0,154.0,2.0,7.0,38.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
151,T1,160.0,0.0,7.0,42.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
152,T2,35.0,0.0,5.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,T3,18.0,0.0,2.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,T4,4.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,T5,10.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,T6,17.0,0.0,9.0,20.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
157,T7,5.0,0.0,3.0,7.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
158,T8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,T0,5.0,1.0,5.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
161,T1,54.0,0.0,11.0,14.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
162,T2,41.0,0.0,15.0,24.0,19.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
163,T3,14.0,0.0,11.0,27.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
164,T4,18.0,0.0,12.0,23.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
165,T5,35.0,0.0,21.0,48.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
166,T6,25.0,0.0,6.0,22.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
167,T7,23.0,0.0,4.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
168,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,T1,56.0,0.0,39.0,72.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0
172,T2,33.0,0.0,3.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,T3,94.0,0.0,2.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,T4,69.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,T5,183.0,0.0,1.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,T6,141.0,0.0,4.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,T7,134.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,T8,203.0,0.0,2.0,22.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0
179,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,T0,0.0,0.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
181,T1,12.0,1.0,12.0,4.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0
182,T2,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,T3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,T5,1.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,T7,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,T1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,T8,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
199,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,T1,80.0,1.0,18.0,27.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0
202,T2,85.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,T3,57.0,0.0,1.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,T4,23.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,T5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,T6,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,T7,42.0,0.0,0.0,7.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
208,T8,15.0,0.0,6.0,10.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
209,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,T0,24.0,0.0,3.0,14.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
211,T1,99.0,0.0,5.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,T2,37.0,0.0,0.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,T3,5.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,T4,4.0,0.0,1.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,T5,30.0,0.0,1.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,T6,0.0,0.0,4.0,25.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
217,T7,0.0,0.0,14.0,5.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
218,T8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,T0,16.0,0.0,6.0,29.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
221,T1,76.0,0.0,6.0,39.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
222,T2,77.0,0.0,27.0,89.0,20.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0
223,T3,38.0,0.0,16.0,32.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
224,T4,6.0,0.0,6.0,15.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
225,T5,6.0,0.0,10.0,19.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
226,T6,2.0,0.0,1.0,12.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,T7,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,T8,14.0,0.0,11.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
229,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,T0,81.0,1.0,9.0,22.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0
231,T1,259.0,0.0,12.0,53.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
232,T2,148.0,0.0,3.0,56.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
233,T3,72.0,0.0,1.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,T4,53.0,0.0,0.0,38.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
235,T5,41.0,0.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
236,T6,8.0,0.0,3.0,19.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
237,T7,48.0,0.0,2.0,19.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
238,T8,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,T0,10.0,1.0,15.0,16.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
241,T1,87.0,0.0,12.0,32.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
242,T2,57.0,0.0,4.0,29.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
243,T3,0.0,0.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
244,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,T5,0.0,0.0,2.0,5.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
246,T6,0.0,0.0,2.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
247,T7,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
248,T8,0.0,0.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
249,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,T0,1.0,1.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
251,T1,97.0,0.0,6.0,37.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
252,T2,63.0,0.0,4.0,32.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
253,T3,7.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,T4,11.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,T5,0.0,0.0,1.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,T6,3.0,0.0,5.0,10.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
257,T7,0.0,0.0,1.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,T0,108.0,1.0,55.0,33.0,0.0,29.0,22.0,0.0,0.0,1.0,2.0,0.0
261,T1,431.0,0.0,25.0,109.0,16.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0
